Specimen Code,Description,Processing - # Blocks,Comments,Gross Template
BIOPSY,Biopsy,1,yellow,G16.B;G16.C;G5.A;G5.B;G5.C;G5.D
ADRENAL RESEC,Adrenal Resection,10,yellow,G7.G
ANUS PAP,Anal Pap,0,,
ARTERITIS TEMP,"Artery, temporal protocol",1,peach,G3.A;G3.B;G3.C;G6.D
ARTERY,Artery,1,yellow,G3.B;G3.C;G3.A;G6.D
AUTOP 1 ORGAN,"Autopsy Limited, Single Organ",10,gray,
AUTOP REGIONAL,"Autopsy Limited, Regional",15,gray,
AUTOP W/ CNS,"Autopsy Comprehensive, CNS",25,gray,
AUTOP W/O CNS,"Autopsy Comprehensive, w/o CNS",20,gray,
BAL ,Bronchial Alveolar Lavage,0,,
BLADDER BX,"Bladder, Biopsy",,,G7.X;G7.Y
BLADDER RESEC,Urinary Bladder Partial/Total Resection,15,yellow,G7.H;G7.I;G7.J;G7.L;G7.M;G7.O
BLADDER TUR,Urinary Bladder TUR,6,yellow,G7.H
BM ASPIRATE,"Bone Marrow, Aspirate",0,,G10.G;G10.F
BM BX,"Bone Marrow, Biopsy",0,,G10.D;G10.E;G10.F
BONE BX,"Bone, Biopsy/Curettings",1,lilac,G1.M
BONE RESEC,"Bone, Resection",5,lilac,G1.G;G1.H;G1.I;G1.J;G1.K;G1.L;G1.M;G1.F
BRST CORE BX,Breast Needle Core Biopsy,3,white,G2.A
BRST MASS XC BX,"Breast Mass, Excisional Biopsy",10,yellow,G2.B;G2.C;G2.D;G2.E;G2.F;G2.A
BRUSHING,Brushing Cytology Specimen,0,,
CARTILAGE SHAV,"Cartilage, Shavings",1,yellow,G1.N;G1.Q;G1.O;G1.P;G1.E
CELL BLOCK,"Cell Block, Any Source",1,yellow,
CERVIX BX,"Cervix, Biopsy",1,yellow,G8.B;G8.C;G8.H;G8.O;G8.A
CERVIX LEEP,"Cervix, LEEP",5,yellow,G8.H;G8.O
COLON,Colon,15,yellow,G5.P;G5.Q;G5.R;G5.S;G5.T;G5.I;G5.J;G5.G;G5.H;G5.A;G5.B;G5.C;G5.D
COLON DONUT,"Colon, Donut, Trim",5,yellow,G5.H;G5.I;G5.J
CSF,Cerebrospinal Fluid,0,,
ECC CURETTAGE,"Endocervix, Curettage",1,yellow,G8.A
ENDOMETRIUM BX,Endometrium Biopsy,2,yellow,G8.D;G8.A;G8.M
ENDOMETRIUM CUR,Endometrial Curetting,1,yellow,G8.D;G8.A;G8.M
EPIDIDYMIS,Epididymis,1,yellow,G7.U;G7.V;G7.W
ESOPH RESEC,"Esophagus, Partial/Total Resection",15,yellow,G5.G;G5.K;G5.L
EYE ENUC,"Eye, Enucleation",0,,G13.D
EYELID XTUM,"Eyelid, Non-Neoplastic/Blephroplasty",1,yellow,G13.B;G13.C;G13.A;G13.D
FALLOP T STERIL,"Fallopian Tube, Segment Sterilization",2,peach,G8.I
FLUID,Fluid Cytology Specimen,1,,
FOREIGN BODY,Foreign Body,1,,G16.D
