Specimen_Name,Specimen_Type,Organ,Procedure,Smartlist,Gross_Default
Abscess ,Miscellaneous,None,Aspiration,None,Fresh
Adenoid biopsy ,ENT,Adenoids,Biopsy,None,Formalin
Adenoid(s) ,ENT,Adenoids,Adenoidectomy,None,Formalin
Adipose tissue ,Soft Tissue,Soft Tissue,Excision,None,Formalin
Adrenal Biopsy ,Endocrine,Adrenal gland,Biopsy,None,Formalin
"Adrenal, biopsy ",Endocrine,Adrenal gland,Biopsy,None,Formalin
"Adrenal, Resection ",Endocrine,Adrenal gland,Adrenalactomy,None,Formalin
Ampulla biopsy ,Hepatobiliary,Ampulla,Biopsy,None,Formalin
"Amputation, digit, non-traumatic ",Orthopedic,Digit,Amputation,None,Fresh
"Amputation, digit, traumatic ",Orthopedic,Digit,Amputation,None,Fresh
"Amputation, extremity, non-traumatic ",Orthopedic,Extremity,Amputation,None,Fresh
"Amputation, extremity, traumatic ",Orthopedic,Extremity,Amputation,None,Fresh
Anal Biopsy ,Gastroenteric,Anus,Biopsy,None,Formalin
Anal Condyloma ,Gastroenteric,Anus,Biopsy,None,Formalin
Anastomosis biopsy ,Gastroenteric,Anastomosis,Biopsy,None,Formalin
Aneurysm ,Cardiovascular,Blood vessel,Aneurysm Repair,None,Formalin
"Appendix, appendicitis ",Gastroenteric,Appendix,Appendectomy,None,Formalin
"Appendix, incidental ",Gastroenteric,Appendix,Appendectomy,None,Formalin
Artery ,Cardiovascular,Blood vessel,Arterectomy,None,Formalin
"Artery, biopsy ",Cardiovascular,Blood vessel,Biopsy,None,Formalin
Atrial Appendage ,Cardiovascular,Atrial Appendage,Biopsy,None,Formalin
Avascular necrosis ,Orthopedic,Bone,Curettage,None,Formalin
Bartholin Gland Cyst ,Gynecologic,Skin,Cystectomy,None,Formalin
Bladder ,Urologic,Bladder,Radical Cystectomy,None,Formalin
Bladder neck ,Urologic,Bladder,Biopsy,None,Formalin
Bladder tumor ,Urologic,Bladder,Transurethral Resection of Bladder Tumor,None,Formalin
"Bladder, biopsy ",Urologic,Bladder,Biopsy,None,Formalin
Body Fluid ,Cytology,Body fluid,Cytology,None,None
Bone ,Orthopedic,Bone,Biopsy,None,Formalin
Bone fragment ,Orthopedic,Bone,Biopsy,None,Formalin
"Bone, biopsy ",Orthopedic,Bone,Biopsy,None,Formalin
"Bone, cyst ",Orthopedic,Bone,Excision,None,Formalin
"Bone, exostosis ",Orthopedic,Bone,Exostectomy,None,Formalin
"Bone, resection ",Orthopedic,Bone,Resection,None,Formalin
Brain ,Neurosurgical,Brain,Biopsy,None,Fresh
"Brain, biopsy ",Neurosurgical,Brain,Biopsy,None,Fresh
"Brain, biopsy (tumor) ",Neurosurgical,Brain,Biopsy,None,Fresh
Branchial cleft cyst ,ENT,Branchial cleft cyst,Excision,None,Formalin
Breast biopsy ,Breast,Breast,Biopsy,None,Formalin
Breast Lumpectomy ,Breast,Breast,Lumpectomy,None,Fresh
Breast mastectomy,Breast,Breast,Mastectomy,None,Fresh
Breast scar ,Breast,Breast,Revision,None,Formalin
Breast Skin and Tissue ,Breast,Breast,Excision,None,Formalin
Breast tissue ,Breast,Breast,Resection,None,Fresh
"Breast, margin ",Breast,Breast,Resection,None,Formalin
"Breast, mastectomy, w/ lymph nodes ",Breast,Breast,Mastectomy with Lymph Node Biopsy,None,Fresh
"Breast, reduction ",Breast,Breast,Reduction,None,Formalin
Bronchial Washing ,Cytology,Bronchus,Washing,None,None
Bronchoalveolar Lavage ,Cytology,Bronchus,Bronchoalveolar Lavage,None,None
"Bronchus, biopsy ",Pulmonary,Bronchus,Biopsy,None,Formalin
Bunion ,Orthopedic,Bone,Bunionectomy,None,Formalin
Bursa ,Orthopedic,Joint,Bursectomy,None,Formalin
Carina biopsy ,Pulmonary,Carina,Biopsy,None,Formalin
Carpal tunnel ,Orthopedic,Soft Tissue,Excision,None,Formalin
Cecal biopsy ,Gastroenteric,Colon,Biopsy,{colbio:70805},Formalin
Cecal polyp ,Gastroenteric,Colon,Polypectomy,{colpol:70786},Formalin
Cervical biopsy ,Gynecologic,Cervix,Biopsy,{cinbio:70806},Formalin
Cervical cone biopsy ,Gynecologic,Cervix,Cone Biopsy,None,Formalin
Cervical polyp ,Gynecologic,Cervix,Polypectomy,{cervpol:71140},Formalin
"Cervix, cyst ",Gynecologic,Cervix,Cystectomy,None,Formalin
Cholesteatoma ,ENT,Skin,Biopsy,None,Formalin
Clot ,Hematologic,Clot,Removal,None,Formalin
Colon resection ,Gastroenteric,Colon,Resection,None,Formalin
"Colon, biopsy ",Gastroenteric,Colon,Biopsy,{colbio:70805},Formalin
"Colon, colostomy ",Gastroenteric,Colon,Colostomy Reversal,None,Formalin
"Colon, polyp ",Gastroenteric,Colon,Polypectomy,{colpol:70786},Formalin
"Conjunctiva, biopsy ",Ophthalmalogic,Conjunctiva,Biopsy,None,Formalin
"Cornary artery, biopsy ",Cardiovascular,Blood vessel,Biopsy,None,Formalin
"Corneal, biopsy ",Ophthalmalogic,Cornea,Biopsy,None,Formalin
"Cul-de-sac, biopsy ",Gynecologic,Cul-de-sac,Biopsy,None,Formalin
Cyst ,Miscellaneous,Soft Tissue,Cystectomy,None,Formalin
Cyst bartholin ,Gynecologic,Skin,Cystectomy,None,Formalin
"Cyst, thyroglossal ",ENT,Soft Tissue,Cystectomy,None,Formalin
Debridement ,Miscellaneous,Other,Debridement,None,Formalin
Dental cyst ,Oral,Oral Cavity,Biopsy,None,Formalin
Dermoid cyst ,Gynecologic,Ovary,Ovarian Cystectomy,None,Formalin
Diaphragm ,Pulmonary,Diaphragm,Biopsy,None,Formalin
Disc ,Orthopedic,Spine,Discectomy,None,Formalin
Distal pa ,Hepatobiliary,Pancreas,Distal Pancreatectomy,None,Formalin
Diverticulum ,Gastroenteric,Other,Biopsy,{colbio:70805},Formalin
Donuts ,Gastroenteric,Intestine,Anastamosis,None,Formalin
Duodenum biopsy ,Gastroenteric,Duodenum,Biopsy,None,Formalin
Duodenum polyp ,Gastroenteric,Duodenum,Polypectomy,None,Formalin
Ear contents ,ENT,Ear,Curettage,None,Formalin
Ear drum ,ENT,Ear,Tympanoplasty,None,Formalin
"Ear, biopsy ",ENT,Ear,Biopsy,None,Formalin
Ecc cells ,Gynecologic,Endocervix,Curettage,{cinbio:70806},Formalin
Ectopic pregnancy ,Gynecologic,Fallopian Tube,Salpingectomy,None,Formalin
Endocervical curettings ,Gynecologic,Endocervix,Curettage,{cinbio:70806},Formalin
Endometrial biopsy ,Gynecologic,Endometrium,Biopsy,None,Formalin
Endometrial curettings ,Gynecologic,Endometrium,Curettage,None,Formalin
Endometrial polyp ,Gynecologic,Endometrium,Polypectomy,None,Formalin
Endoscopic shavings ,Miscellaneous,Other,Shaving,None,Formalin
Enterocele ,Gynecologic,Other,Enterocele Repair,None,Formalin
Epidural mass ,Neurosurgical,Epidural Space,Biopsy,None,Formalin
"Epiglottis, biopsy ",ENT,Epiglottis,Biopsy,None,Formalin
"Esophagus, biopsy ",Gastroenteric,Esophagus,Biopsy,None,Formalin
"Esophagus, resection ",Gastroenteric,Esophagus,Esophagectomy,None,Formalin
"Espohagus, polyp ",Gastroenteric,Esophagus,Polypectomy,None,Formalin
Eye ,Ophthalmalogic,Eye,Enucleation,None,Formalin
Eye lesion ,Ophthalmalogic,Eye,Biopsy,None,Formalin
"Eye, Pterygium ",Ophthalmalogic,Eye,Excision,None,Formalin
Fallopian tube ,Gynecologic,Fallopian Tube,Salpingectomy,None,Formalin
"Fallopian tube, biopsy ",Gynecologic,Fallopian Tube,Biopsy,None,Formalin
"Fat Pad, Biopsy ",Miscellaneous,Soft Tissue,Biopsy,None,Formalin
Femoral head ,Orthopedic,Bone,Arthroplasty,None,Fresh
"Fetus, Gross only ",Autopsy,Other,Autopsy,None,None
"Fetus, microscopic ",Autopsy,Other,Autopsy,None,None
Fistula ,Miscellaneous,Other,Repair,None,Formalin
Foreign body ,Miscellaneous,Foreign body,Removal,None,Fresh
"Foreskin, adult ",Urologic,Foreskin,Circumcision,None,Formalin
"Foreskin, newborn ",Urologic,Foreskin,Circumcision,None,Formalin
Frozen section consult ,Miscellaneous,Other,Biopsy,None,Fresh
Gallbladder ,Hepatobiliary,Gallbladder,Cholecystectomy,None,Formalin
Ganglion Cyst ,Orthopedic,Soft Tissue,Excision,None,Formalin
Gastric biopsies ,Gastroenteric,Stomach,Biopsy,None,Formalin
Gastric mass/ulcer ,Gastroenteric,Stomach,Biopsy,None,Formalin
Gastric polyp ,Gastroenteric,Stomach,Polypectomy,{stopol:70815},Formalin
Gastric resection ,Gastroenteric,Stomach,Resection,None,Formalin
"Gastroesophageal Junction, biopsy ",Gastroenteric,Gastroesophageal Junction,Biopsy,None,Formalin
Gi mass ,Gastroenteric,Other,Biopsy,None,Formalin
Gout ,Orthopedic,Joint,Biopsy,None,Formalin
Granulation tissue ,Miscellaneous,Other,Biopsy,None,Formalin
Gross only ,Miscellaneous,Other,Other,None,Fresh
Heart tumor ,Cardiovascular,Heart,Biopsy,None,Formalin
Hematoma ,Miscellaneous,Other,Evacuation,None,Formalin
Hemorrhoids ,Gastroenteric,Hemorrhoids,Hemorrhoidectomy,None,Formalin
Hernia Sac ,Gastroenteric,Hernia Sac,Herniorrhaphy,None,Formalin
Hip membrane ,Orthopedic,Joint,Biopsy,None,Formalin
Humeral head ,Orthopedic,Bone,Arthroplasty,None,Fresh
Hydrocele Sac ,Urologic,Hydrocele Sac,Hydrocelectomy,None,Formalin
Hydrosalpinx ,Urologic,Fallopian Tube,Salpingectomy,None,Formalin
Hymen ,Gynecologic,Vaginal Opening,Hymenectomy,None,Formalin
Ileal cecal valve biopsy ,Gastroenteric,Ileocecal Valve,Biopsy,None,Formalin
Ileum biopsy ,Gastroenteric,Ileum,Biopsy,None,Formalin
Inguinal hernia sac ,Miscellaneous,Hernia Sac,Herniorrhaphy,None,Formalin
Joint debridement ,Orthopedic,Joint,Debridement,None,Formalin
"Joint, Crystal ",Orthopedic,Joint,Aspiration,None,Fresh
"Kidney, biopsy ",Urologic,Kidney,Biopsy,None,Formalin
"Kidney, partial/total nephrectomy ",Urologic,Kidney,Nephrectomy,None,Formalin
"Knee Bone, resection ",Orthopedic,Joint,Arthroplasty,None,Fresh
Knee membrane ,Orthopedic,Joint,Biopsy,None,Formalin
Labial bx ,Gynecologic,Labia,Biopsy,None,Formalin
Lacrimal sac ,Ophthalmalogic,Lacrimal Sac,Biopsy,None,Formalin
Laryngeal biopsy ,ENT,Larynx,Biopsy,None,Formalin
Larynx ,ENT,Larynx,Laryngectomy,None,Fresh
Lesion Biopsy ,Miscellaneous,Other,Biopsy,None,Formalin
Lip biopsy ,Dermatologic,Lip,Biopsy,None,Formalin
Lipoma ,Soft Tissue,Soft Tissue,Excision,None,Formalin
Liver biopsy ,Hepatobiliary,Liver,Biopsy,None,Formalin
"Liver, resection, neoplastic ",Hepatobiliary,Liver,Hepatectomy,None,Fresh
Loose bodies ,Orthopedic,Joint,Arthroscopy,None,Fresh
Lung ,Pulmonary,Lung,Wedge Biopsy,None,Formalin
Lung Biopsy ,Pulmonary,Lung,Biopsy,None,Formalin
"Lung, resection, non-neoplastic ",Pulmonary,Lung,Lobectomy,None,Formalin
Lymph node ,Hematologic,Lymph Node,Biopsy,None,Formalin
"Lymph node dissection (axillary), breast cancer, (received as addl part to mastectomy) ",Breast,Lymph Node,Dissection,None,Formalin
Lymph node for lymphoma protocol ,Hematologic,Lymph Node,Biopsy,None,Formalin
"Lymph node, dissection ",Hematologic,Lymph Node,Dissection,None,Formalin
"Lymph Node, Sentinel, Endometrial Cancer ",Gynecologic,Lymph Node,Biopsy,None,Formalin
Mastoid contents ,ENT,Sinonasal Cavity,Functional Endoscopic Sinus Surgery,None,Formalin
"Mediastinum, biopsy ",Hematologic,Mediastinum,Biopsy,None,Formalin
"Mediastinum, resection ",Hematologic,Mediastinum,Mediastinectomy,None,Formalin
Meninges ,Neurosurgical,Meninges,Meningectomy,None,Formalin
Meniscus ,Orthopedic,Joint,Arthroscopy,None,Formalin
Mesenteric ,Gastroenteric,Mesentery,Resection,None,Formalin
Miscellaneous Cytology Non-gynecological ,Cytology,Other,Other,None,Formalin
Missing part (used by conversions) ,Miscellaneous,Other,Other,None,None
Mole ,Dermatologic,Skin,Biopsy,None,Formalin
Mucocele ,Miscellaneous,Other,Biopsy,None,Formalin
Mucous cyst ,Miscellaneous,Other,Biopsy,None,Formalin
Mueller's muscle ,Ophthalmalogic,Muscle,Resection,None,Formalin
Muscle ,Soft Tissue,Muscle,Resection,None,Formalin
Muscle Biopsy ,Soft Tissue,Muscle,Biopsy,None,Fresh
"Myocardium, biopsy ",Cardiovascular,Heart,Biopsy,None,Formalin
Myoma ,Soft Tissue,Soft Tissue,Resection,None,Formalin
Nail/nail bed ,Dermatologic,Nail,Clipping,None,Fresh
"Nasal, biopsy ",ENT,Sinonasal Cavity,Biopsy,None,Formalin
